
==================================================
epoch=1
новости                      ==> нооостт                     
навязчивый                   ==> навязнивый                  
тюменского                   ==> теменский                   
материальному                ==> материальный                
цветном                      ==> цватный                     
несчастливую                 ==> несччстливвйй               
обрадовалось                 ==> обрадоваться                
погонщике                    ==> погонщик                    
способностях                 ==> спосббность                 
коллегии                     ==> коллеяии                    
венецианскими                ==> венецианский                
экологических                ==> экологический               
лачуги                       ==> лапуии                      
поклонению                   ==> поклонение                  
представителям               ==> предссавитель               
сдержанны                    ==> сдержанный                  
епископов                    ==> иписккпд                    
субъективны                  ==> субъестивный                
информационных               ==> инффраационный              
запертое                     ==> запертый                    
Ариэль                       ==> Ариоль                      
орудовали                    ==> орудовать                   
неотразим                    ==> неттрази                    
невероятна                   ==> неверолнный                 
магазины                     ==> магазин                     
готовящемуся                 ==> готовящийся                 
абсурдного                   ==> ассурдный                   
протоке                      ==> протока                     
слушаются                    ==> слушатьсяя                  
ресурсами                    ==> ресууст                     
наиумнейшего                 ==> наиумный                    
учебное                      ==> учебный                     
подозрительней               ==> подоррительный              
тотальнейших                 ==> тотальный                   
Льюиса                       ==> Лююис                       
официанта                    ==> офиииатт                    
перлом                       ==> перу                        
архангельской                ==> араагнельский               
обменивались                 ==> обмениваться                
оперной                      ==> оперный                     
крючку                       ==> крюкка                      
немаловажный                 ==> немаловжжный                
переглянись                  ==> перегльнтьс                 
зубной                       ==> зубный                      
черноволосый                 ==> чернноолос й                
глупый                       ==> глут                        
военных                      ==> военнйй                     
ограбило                     ==> огрббит                     
детскому                     ==> десской                     
центральнейшем               ==> центральный                 
трогайся                     ==> троггться                   
готовите                     ==> готовит                     
враждебнейшим                ==> враждееный                  
созерцало                    ==> созерцать                   
отвратительнейшее            ==> отрратительный              
Мариуполем                   ==> Марупооль                   
неожиданностях               ==> недддаанность               
шатка                        ==> шатк                        
примитивном                  ==> примитивный                 
утопала                      ==> утопаль                     
будильник                    ==> будильник                   
диплом                       ==> дипл                        
улиткам                      ==> улитк                       
прохожего                    ==> прохожеи                    
итоговым                     ==> ипоговый                    
кандидатур                   ==> кандддаатр                  
сбиваете                     ==> сбивать                     
возрастами                   ==> вззраст                     
отбери                       ==> отеери                      
статистической               ==> статиттический              
благоразумного               ==> алагоразямный               
комендатурами                ==> комнедаатр                  
парализовано                 ==> парализованный              
свободнейшей                 ==> свооодный                   
мисками                      ==> мисса                       
консервативным               ==> консеравтивный              
пожирают                     ==> пожирать                    
Рикардо                      ==> Рикарр                      
совхозы                      ==> соввоо                      
Грефым                       ==> Грфф                        
водка                        ==> водк                        
планетой                     ==> планетый                    
уставном                     ==> уставный                    
амнистией                    ==> аннистии                    
летательному                 ==> летаттльный                 
кронами                      ==> кронм                       
изводишь                     ==> изввдить                    
наглою                       ==> нагло                       
незнакомки                   ==> незаакомк                   
приблизительнейшем           ==> прислииительный             
детально                     ==> детальный                   
покорнейшей                  ==> покодный                    
экспансий                    ==> экспаника                   
узнаешь                      ==> узнать                      
управимся                    ==> управиисяя                  
Семеновичам                  ==> Сеннновии                   
посчитали                    ==> посчиталь                   
определялся                  ==> опреееляться                
нити                         ==> нит                         
прошлогоднею                 ==> пролллоодны                 

==================================================
epoch=2
шедшею                       ==> шедший                      
ситуаций                     ==> ситуация                    
присматривать                ==> присматривать               
бедной                       ==> бедной                      
замешанному                  ==> замешанный                  
злополучного                 ==> злополучный                 
бензоколонки                 ==> беозоколонка                
рычали                       ==> рычаль                      
культ                        ==> культ                       
Констанциях                  ==> Констанция                  
капризным                    ==> капризный                   
смерть                       ==> смертьт                     
